"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API de Posts","1","0","Deletar um post","0"
"0","","0","API de Posts","1","0","Buscar um post por ID","0"
"0","","0","API de Posts","1","0","Validar contrato (schema) do post","0"
"0","","0","Login no sistema","2","0","Login com credenciais inválidas","0"
"0","","0","Login no sistema","1","0","Login com senha incorreta","0"
"0","","0","API de Posts","1","0","Atualizar um post existente","0"
"0","","0","API de Posts","1","0","Buscar posts de um usuário específico","0"
"0","","0","API de Posts","1","0","Buscar post inexistente retorna 404","0"
"0","","0","API de Posts","1","0","Listar todos os posts","0"
"0","","0","API de Posts","1","0","Criar um novo post","0"
"0","","0","Login no sistema","1","0","Login com credenciais válidas","0"
