"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","64","Deletar um post","","2026-07-08","passed","2026-07-08","","API de Posts","Deletar um post",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","593","Buscar um post por ID","","2026-07-08","passed","2026-07-08","","API de Posts","Buscar um post por ID",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","740","Validar contrato (schema) do post","","2026-07-08","passed","2026-07-08","","API de Posts","Validar contrato (schema) do post",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","3887","Login com credenciais inválidas","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com credenciais inválidas",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","5818","Login com senha incorreta","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com senha incorreta",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","4216","Login com credenciais inválidas","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com credenciais inválidas",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","95","Atualizar um post existente","","2026-07-08","passed","2026-07-08","","API de Posts","Atualizar um post existente",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","105","Buscar posts de um usuário específico","","2026-07-08","passed","2026-07-08","","API de Posts","Buscar posts de um usuário específico",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","106","Buscar post inexistente retorna 404","","2026-07-08","passed","2026-07-08","","API de Posts","Buscar post inexistente retorna 404",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","3204","Listar todos os posts","","2026-07-08","passed","2026-07-08","","API de Posts","Listar todos os posts",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","112","Criar um novo post","","2026-07-08","passed","2026-07-08","","API de Posts","Criar um novo post",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","10328","Login com credenciais válidas","","2026-07-08","passed","2026-07-08","","Login no sistema","Login com credenciais válidas",""
